Battery Reference,Device Brand,Marketing Name,Exact Model Number,Evidence Status,Evidence Source,Condition / Conflict,Claim ID
4UL,Nokia,225 4G,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client wrote ""Asha 220, 225, 230"" — those phones are sold as Nokia 220 / 225 / 230, recorded that way (the 225 once). Names such as 3310, 225, 5310 and 6310 span generations; confirm the generation (and BL-4UL vs BL-4WL for the 6310) before publishing.",V3-171
4UL,Nokia,5310 (2020),,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client wrote ""Asha 220, 225, 230"" — those phones are sold as Nokia 220 / 225 / 230, recorded that way (the 225 once). Names such as 3310, 225, 5310 and 6310 span generations; confirm the generation (and BL-4UL vs BL-4WL for the 6310) before publishing.",V3-172
4UL,Nokia,6310 (2021),,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client wrote ""Asha 220, 225, 230"" — those phones are sold as Nokia 220 / 225 / 230, recorded that way (the 225 once). Names such as 3310, 225, 5310 and 6310 span generations; confirm the generation (and BL-4UL vs BL-4WL for the 6310) before publishing.",V3-173
4UL,Nokia,220,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client wrote ""Asha 220, 225, 230"" — those phones are sold as Nokia 220 / 225 / 230, recorded that way (the 225 once). Names such as 3310, 225, 5310 and 6310 span generations; confirm the generation (and BL-4UL vs BL-4WL for the 6310) before publishing.",V3-174
4UL,Nokia,230,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client wrote ""Asha 220, 225, 230"" — those phones are sold as Nokia 220 / 225 / 230, recorded that way (the 225 once). Names such as 3310, 225, 5310 and 6310 span generations; confirm the generation (and BL-4UL vs BL-4WL for the 6310) before publishing.",V3-175
4UL,Nokia,Asha 502,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client wrote ""Asha 220, 225, 230"" — those phones are sold as Nokia 220 / 225 / 230, recorded that way (the 225 once). Names such as 3310, 225, 5310 and 6310 span generations; confirm the generation (and BL-4UL vs BL-4WL for the 6310) before publishing.",V3-176
5C,Nokia,1100,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),,V3-177
5C,Nokia,1101,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),,V3-178
5C,Nokia,1110,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),,V3-179
5C,Nokia,1112,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),,V3-180
5C,itel,it2160,2160,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),,V3-181
5C,itel,it2161,2161,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),,V3-182
5C,itel,it2162,2162,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),,V3-183
5C,itel,it2163,2163,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),,V3-184
5C,TECNO,T301,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client wrote the numbers only (""301/312/…""); ""T"" prefix assumed for TECNO feature phones — confirm.",V3-185
5C,TECNO,T312,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client wrote the numbers only (""301/312/…""); ""T"" prefix assumed for TECNO feature phones — confirm.",V3-186
5C,TECNO,T313,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client wrote the numbers only (""301/312/…""); ""T"" prefix assumed for TECNO feature phones — confirm.",V3-187
5C,TECNO,T349,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client wrote the numbers only (""301/312/…""); ""T"" prefix assumed for TECNO feature phones — confirm.",V3-188
5C,TECNO,T401,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client wrote the numbers only (""301/312/…""); ""T"" prefix assumed for TECNO feature phones — confirm.",V3-189
5C,TECNO,T101,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client wrote the numbers only (""301/312/…""); ""T"" prefix assumed for TECNO feature phones — confirm.",V3-190
BL-28AT,TECNO,Y2,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),Client: BL-28AT and BL-28ATLONG are DIFFERENT packs; never merge.,V3-191
BL-28AT,TECNO,Camon Y3 Plus,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),Client: BL-28AT and BL-28ATLONG are DIFFERENT packs; never merge.,V3-192
BL-38BT,TECNO,Pop 6 Go,BE6,Supplier claim,Client answer 2026-09-20 (second message),"Client: BL-38BT is for the Pop 5 Go AND the Pop 6 Go. The client's printed list (and at least one parts listing) puts the Pop 6 Go on BL-38CT, so it is recorded on both; a fit check should confirm the two packs are interchangeable in this phone.",V3-193
BL-24ET,TECNO,Pop 2 Go,,Supplier claim,Client answer 2026-09-20 (second message),"CONFLICT (identity): client says the 'Pop 2 Go' uses BL-24ET. TECNO sold a Pop 2 (B1), Pop 2F (B1F), Pop 2 Plus and Pop 2 Power, but no phone officially named 'Pop 2 Go' — record the model number printed on the phone before creating it, so it does not become a duplicate of the Pop 2 / Pop 2F already on this battery.",V3-194
BL-38BT,TECNO,Pop 2 Go,,Poster claim,Supplier research 2026-08-26,CONFLICT: rejected by the client (2026-09-20): the Pop 2 Go does NOT use BL-38BT; BL-38BT is for the Pop 5 Go and Pop 6 Go.,V3-195
