GoldPlus SKU,Website battery code,Product name today,Technical / original pack code,Reference capacity (mAh) — ORIGINAL pack,Reference voltage (V) — ORIGINAL pack,Basis for the reference,Capacity / voltage printed on the GoldPlus pack (staff to fill),Phone brands,Phones recorded,Compatible phones (name + model number),Search keywords / aliases,Suggested SEO title (use once matches are verified),Suggested meta description (use once matches are verified)
GP-BAT-BL49FT,BL-49FT,GoldPlus Battery GP-49FT,BL-49FT,4900,,Transsion code convention (the two digits = capacity ÷ 100); voltage not stated,,TECNO,8,TECNO Camon 15 (CD7); TECNO Camon 15 Air; TECNO Pop 4 (BC2); TECNO Pop 4 Pro (BC3); TECNO Spark 5 Pro (KD7); TECNO Spark 6 Go (KE5); TECNO Spark 7 (KF6n); TECNO Spark 7 Go (KF6m),"BL-49FT, BL49FT, GP-49FT, TECNO Camon 15 battery, TECNO Camon 15 Air battery, TECNO Pop 4 battery, TECNO Pop 4 Pro battery, TECNO Spark 5 Pro battery, TECNO Spark 6 Go battery, TECNO Spark 7 battery, TECNO Spark 7 Go battery, CD7 battery, BC2 battery, BC3 battery, KD7 battery, KE5 battery, KF6n battery, KF6m battery","GoldPlus BL-49FT battery for TECNO Camon 15, TECNO Camon 15 Air, TECNO","GoldPlus replacement battery BL-49FT for TECNO Camon 15, TECNO Camon 15 Air, TECNO Pop 4, TECNO Pop 4 Pro, TECNO Spark 5 Pro, TECNO Spark 6 Go. Check your phone's exact model number or the code on your old battery before you order."
GP-BAT-BL49GX,BL-49GX,GoldPlus Battery GP-49GX,BL-49GX,4900,,Transsion code convention (the two digits = capacity ÷ 100); voltage not stated,,Infinix,5,Infinix Hot 11S (X6812); Infinix Hot 12 Pro; Infinix Note 10 (X693); Infinix Note 7 (X690); Infinix Note 7 Lite (X656),"BL-49GX, BL49GX, GP-49GX, Infinix Hot 11S battery, Infinix Hot 12 Pro battery, Infinix Note 10 battery, Infinix Note 7 battery, Infinix Note 7 Lite battery, X6812 battery, X693 battery, X690 battery, X656 battery","GoldPlus BL-49GX battery for Infinix Hot 11S, Infinix Hot 12 Pro, Infi","GoldPlus replacement battery BL-49GX for Infinix Hot 11S, Infinix Hot 12 Pro, Infinix Note 10, Infinix Note 7, Infinix Note 7 Lite. Check your phone's exact model number or the code on your old battery before you order."
GP-BAT-BL49JT,BL-49JT,GoldPlus Battery GP-49JT,BL-49JT,4900,,Transsion code convention (the two digits = capacity ÷ 100); voltage not stated,,TECNO,3,TECNO Camon 17 Pro (CG8); TECNO Camon 18P (CH7); TECNO Spark 8 Pro,"BL-49JT, BL49JT, GP-49JT, TECNO Camon 17 Pro battery, TECNO Camon 18P battery, TECNO Spark 8 Pro battery, CG8 battery, CH7 battery","GoldPlus BL-49JT battery for TECNO Camon 17 Pro, TECNO Camon 18P, TECN","GoldPlus replacement battery BL-49JT for TECNO Camon 17 Pro, TECNO Camon 18P, TECNO Spark 8 Pro. Check your phone's exact model number or the code on your old battery before you order."
GP-BAT-BL49JX,BL-49JX,GoldPlus Battery GP-49JX,BL-49JX,4900,,Transsion code convention (the two digits = capacity ÷ 100); voltage not stated,,Infinix,3,Infinix Note 10 Pro (X695); Infinix Note 11 Pro (X697); Infinix Zero 5G (X6815),"BL-49JX, BL49JX, GP-49JX, Infinix Note 10 Pro battery, Infinix Note 11 Pro battery, Infinix Zero 5G battery, X695 battery, X697 battery, X6815 battery","GoldPlus BL-49JX battery for Infinix Note 10 Pro, Infinix Note 11 Pro,","GoldPlus replacement battery BL-49JX for Infinix Note 10 Pro, Infinix Note 11 Pro, Infinix Zero 5G. Check your phone's exact model number or the code on your old battery before you order."
GP-BAT-BL51BX,BL-51BX,GoldPlus Battery GP-51BX,BL-51BX,5100,,Transsion code convention (the two digits = capacity ÷ 100); voltage not stated,,Infinix,3,Infinix Hot 10 (X682); Infinix Note 8 (X692); Infinix Note 8i (X683),"BL-51BX, BL51BX, GP-51BX, Infinix Hot 10 battery, Infinix Note 8 battery, Infinix Note 8i battery, X682 battery, X692 battery, X683 battery","GoldPlus BL-51BX battery for Infinix Hot 10, Infinix Note 8, Infinix N","GoldPlus replacement battery BL-51BX for Infinix Hot 10, Infinix Note 8, Infinix Note 8i. Check your phone's exact model number or the code on your old battery before you order."
GP-BAT-BL58BT,BL-58BT,GoldPlus Battery GP-58BT,BL-58BT,5800,,Transsion code convention (the two digits = capacity ÷ 100); voltage not stated,,TECNO,3,TECNO Pouvoir 4 (LC7); TECNO Pouvoir 4 Pro (LC8); TECNO Spark 6 Air (KE6),"BL-58BT, BL58BT, GP-58BT, TECNO Pouvoir 4 battery, TECNO Pouvoir 4 Pro battery, TECNO Spark 6 Air battery, LC7 battery, LC8 battery, KE6 battery","GoldPlus BL-58BT battery for TECNO Pouvoir 4, TECNO Pouvoir 4 Pro, TEC","GoldPlus replacement battery BL-58BT for TECNO Pouvoir 4, TECNO Pouvoir 4 Pro, TECNO Spark 6 Air. Check your phone's exact model number or the code on your old battery before you order."
GP-BAT-BL58BX,BL-58BX,GoldPlus Battery GP-58BX,BL-58BX,5800,,Transsion code convention (the two digits = capacity ÷ 100); voltage not stated,,Infinix,2,Infinix Hot 9; Infinix Hot 9 Play (X680),"BL-58BX, BL58BX, GP-58BX, Infinix Hot 9 battery, Infinix Hot 9 Play battery, X680 battery","GoldPlus BL-58BX battery for Infinix Hot 9, Infinix Hot 9 Play","GoldPlus replacement battery BL-58BX for Infinix Hot 9, Infinix Hot 9 Play. Check your phone's exact model number or the code on your old battery before you order."
GP-BAT-BL681,BL-681,GoldPlus Replacement Battery BL-681 — fits the Oppo F9,BLP681 / BLP683,3500,3.85,seen on independent parts listings (2026-09-20),,OPPO,3,OPPO A7x; OPPO F9; OPPO F9 Pro,"BL-681, BL681, BLP681, BLP683, GP-681, OPPO A7x battery, OPPO F9 battery, OPPO F9 Pro battery","GoldPlus BL-681 battery for OPPO A7x, OPPO F9, OPPO F9 Pro","GoldPlus replacement battery BL-681 (replaces BLP681 / BLP683) for OPPO A7x, OPPO F9, OPPO F9 Pro. Check your phone's exact model number or the code on your old battery before you order."
GP-BAT-G530,G530,GoldPlus Replacement Battery G530 — fits phones that use the G530 pack,EB-BG530,2600,3.8,public specification of the original pack,,Samsung,2,Samsung Galaxy Grand Prime (G530); Samsung Galaxy J5,"EB-BG530, G530, Samsung Galaxy Grand Prime battery, Samsung Galaxy J5 battery, G530 battery","GoldPlus G530 battery for Samsung Galaxy Grand Prime, Samsung Galaxy J","GoldPlus replacement battery G530 (replaces EB-BG530) for Samsung Galaxy Grand Prime, Samsung Galaxy J5. Check your phone's exact model number or the code on your old battery before you order."
GP-BAT-IP11,IP 11,GoldPlus iPhone 11 Replacement Battery (IP 11),iPhone 11,3110,3.83,public specification of the original pack,,Apple,1,Apple iPhone 11,"IP 11, IP11, iPhone 11, Apple iPhone 11 battery",GoldPlus IP 11 battery for Apple iPhone 11,GoldPlus replacement battery IP 11 (replaces iPhone 11) for Apple iPhone 11. Check your phone's exact model number or the code on your old battery before you order.
GP-BAT-IP11PROBATTERY,IP 11 PRO BATTERY,GoldPlus iPhone 11 Pro Replacement Battery (IP 11 PRO BATTERY),iPhone 11 Pro,3046,3.83,public specification of the original pack,,Apple,1,Apple iPhone 11 Pro,"IP 11 PRO BATTERY, IP11PROBATTERY, iPhone 11 Pro, Apple iPhone 11 Pro battery",GoldPlus IP 11 PRO BATTERY battery for Apple iPhone 11 Pro,GoldPlus replacement battery IP 11 PRO BATTERY (replaces iPhone 11 Pro) for Apple iPhone 11 Pro. Check your phone's exact model number or the code on your old battery before you order.
GP-BAT-IP11PROMAX,IP 11 PROMAX,GoldPlus iPhone 11 Pro Max Replacement Battery (IP 11 PROMAX),iPhone 11 Pro Max,3969,3.79,public specification of the original pack,,Apple,1,Apple iPhone 11 Pro Max,"IP 11 PROMAX, IP11PROMAX, iPhone 11 Pro Max, Apple iPhone 11 Pro Max battery",GoldPlus IP 11 PROMAX battery for Apple iPhone 11 Pro Max,GoldPlus replacement battery IP 11 PROMAX (replaces iPhone 11 Pro Max) for Apple iPhone 11 Pro Max. Check your phone's exact model number or the code on your old battery before you order.
GP-BAT-IP12,IP 12,GoldPlus iPhone 12 Replacement Battery (IP 12),iPhone 12,2815,3.83,public specification of the original pack,,Apple,1,Apple iPhone 12,"IP 12, IP12, iPhone 12, Apple iPhone 12 battery",GoldPlus IP 12 battery for Apple iPhone 12,GoldPlus replacement battery IP 12 (replaces iPhone 12) for Apple iPhone 12. Check your phone's exact model number or the code on your old battery before you order.
GP-BAT-IP12PRO,IP 12 PRO,GoldPlus iPhone 12 Pro Replacement Battery (IP 12 PRO),iPhone 12 Pro,2815,3.83,public specification of the original pack,,Apple,1,Apple iPhone 12 Pro,"IP 12 PRO, IP12PRO, iPhone 12 Pro, Apple iPhone 12 Pro battery",GoldPlus IP 12 PRO battery for Apple iPhone 12 Pro,GoldPlus replacement battery IP 12 PRO (replaces iPhone 12 Pro) for Apple iPhone 12 Pro. Check your phone's exact model number or the code on your old battery before you order.
GP-BAT-IP12PROMAX,IP 12 PROMAX,GoldPlus iPhone 12 Pro Max Replacement Battery (IP 12 PROMAX),iPhone 12 Pro Max,3687,3.83,public specification of the original pack,,Apple,1,Apple iPhone 12 Pro Max,"IP 12 PROMAX, IP12PROMAX, iPhone 12 Pro Max, Apple iPhone 12 Pro Max battery",GoldPlus IP 12 PROMAX battery for Apple iPhone 12 Pro Max,GoldPlus replacement battery IP 12 PROMAX (replaces iPhone 12 Pro Max) for Apple iPhone 12 Pro Max. Check your phone's exact model number or the code on your old battery before you order.
GP-BAT-IP13,IP 13,GoldPlus iPhone 13 Replacement Battery (IP 13),iPhone 13,3227,3.84,public specification of the original pack,,Apple,1,Apple iPhone 13,"IP 13, IP13, iPhone 13, Apple iPhone 13 battery",GoldPlus IP 13 battery for Apple iPhone 13,GoldPlus replacement battery IP 13 (replaces iPhone 13) for Apple iPhone 13. Check your phone's exact model number or the code on your old battery before you order.
GP-BAT-IP13PRO,IP 13 PRO,GoldPlus iPhone 13 Pro Replacement Battery (IP 13 PRO),iPhone 13 Pro,3095,3.84,public specification of the original pack,,Apple,1,Apple iPhone 13 Pro,"IP 13 PRO, IP13PRO, iPhone 13 Pro, Apple iPhone 13 Pro battery",GoldPlus IP 13 PRO battery for Apple iPhone 13 Pro,GoldPlus replacement battery IP 13 PRO (replaces iPhone 13 Pro) for Apple iPhone 13 Pro. Check your phone's exact model number or the code on your old battery before you order.
GP-BAT-IP13PROMAX,IP 13 PROMAX,GoldPlus iPhone 13 Pro Max Replacement Battery (IP 13 PROMAX),iPhone 13 Pro Max,4352,3.84,public specification of the original pack,,Apple,1,Apple iPhone 13 Pro Max,"IP 13 PROMAX, IP13PROMAX, iPhone 13 Pro Max, Apple iPhone 13 Pro Max battery",GoldPlus IP 13 PROMAX battery for Apple iPhone 13 Pro Max,GoldPlus replacement battery IP 13 PROMAX (replaces iPhone 13 Pro Max) for Apple iPhone 13 Pro Max. Check your phone's exact model number or the code on your old battery before you order.
GP-BAT-IP14,IP 14,GoldPlus iPhone 14 Replacement Battery (IP 14),iPhone 14,3279,3.85,public specification of the original pack,,Apple,1,Apple iPhone 14,"IP 14, IP14, iPhone 14, Apple iPhone 14 battery",GoldPlus IP 14 battery for Apple iPhone 14,GoldPlus replacement battery IP 14 (replaces iPhone 14) for Apple iPhone 14. Check your phone's exact model number or the code on your old battery before you order.
GP-BAT-IP14PRO,IP 14 PRO,GoldPlus iPhone 14 Pro Replacement Battery (IP 14 PRO),iPhone 14 Pro,3200,3.87,public specification of the original pack,,Apple,1,Apple iPhone 14 Pro,"IP 14 PRO, IP14PRO, iPhone 14 Pro, Apple iPhone 14 Pro battery",GoldPlus IP 14 PRO battery for Apple iPhone 14 Pro,GoldPlus replacement battery IP 14 PRO (replaces iPhone 14 Pro) for Apple iPhone 14 Pro. Check your phone's exact model number or the code on your old battery before you order.
GP-BAT-IP14PROMAX,IP 14 PROMAX,GoldPlus iPhone 14 Pro Max Replacement Battery (IP 14 PROMAX),iPhone 14 Pro Max,4323,3.86,public specification of the original pack,,Apple,1,Apple iPhone 14 Pro Max,"IP 14 PROMAX, IP14PROMAX, iPhone 14 Pro Max, Apple iPhone 14 Pro Max battery",GoldPlus IP 14 PROMAX battery for Apple iPhone 14 Pro Max,GoldPlus replacement battery IP 14 PROMAX (replaces iPhone 14 Pro Max) for Apple iPhone 14 Pro Max. Check your phone's exact model number or the code on your old battery before you order.
GP-BAT-IPX,IP X,GoldPlus iPhone X Replacement Battery (IP X),iPhone X,2716,3.81,public specification of the original pack,,Apple,1,Apple iPhone X,"IP X, IPX, iPhone X, Apple iPhone X battery",GoldPlus IP X battery for Apple iPhone X,GoldPlus replacement battery IP X (replaces iPhone X) for Apple iPhone X. Check your phone's exact model number or the code on your old battery before you order.
GP-BAT-IPXR,IP XR,GoldPlus iPhone XR Replacement Battery (IP XR),iPhone XR,2942,3.79,public specification of the original pack,,Apple,1,Apple iPhone XR,"IP XR, IPXR, iPhone XR, Apple iPhone XR battery",GoldPlus IP XR battery for Apple iPhone XR,GoldPlus replacement battery IP XR (replaces iPhone XR) for Apple iPhone XR. Check your phone's exact model number or the code on your old battery before you order.
GP-BAT-NOKIAC1,NOKIA C1,GoldPlus Replacement Battery NOKIA C1 — fits the Nokia C1,S5420AP,2500,3.8,seen on independent parts listings (2026-09-20),,Nokia,1,Nokia C1 (2019) (TA-1165),"NOKIA C1, NOKIAC1, S5420AP, Nokia C1 (2019) battery, TA-1165 battery",GoldPlus NOKIA C1 battery for Nokia C1 (2019),GoldPlus replacement battery NOKIA C1 (replaces S5420AP) for Nokia C1 (2019). Check your phone's exact model number or the code on your old battery before you order.
GP-BAT-NOTE4,NOTE 4,GoldPlus Replacement Battery NOTE 4 — fits the Note 4,EB-BN910BBE,3220,3.85,public specification of the original pack,,Samsung,1,Samsung Galaxy Note 4,"EB-BN910BBE, NOTE 4, NOTE4, Samsung Galaxy Note 4 battery",GoldPlus NOTE 4 battery for Samsung Galaxy Note 4,GoldPlus replacement battery NOTE 4 (replaces EB-BN910BBE) for Samsung Galaxy Note 4. Check your phone's exact model number or the code on your old battery before you order.
GP-BAT-VIVOBB1,VIVO B-B1,GoldPlus Replacement Battery VIVO B-B1 — fits Vivo phones that use the B-B1 pack,B-B1,2730,3.85,seen on independent parts listings (2026-09-20),,Vivo,4,Vivo Y55; Vivo Y55A; Vivo Y55L; Vivo Y55s (2017) (1610),"B-B1, VIVO B-B1, VIVO BB1, VIVOB-B1, Vivo Y55 battery, Vivo Y55A battery, Vivo Y55L battery, Vivo Y55s (2017) battery, 1610 battery","GoldPlus VIVO B-B1 battery for Vivo Y55, Vivo Y55A, Vivo Y55L, Vivo Y5","GoldPlus replacement battery VIVO B-B1 (replaces B-B1) for Vivo Y55, Vivo Y55A, Vivo Y55L, Vivo Y55s (2017). Check your phone's exact model number or the code on your old battery before you order."
GP-BAT-VIVOBB2,VIVO B-B2,GoldPlus Replacement Battery VIVO B-B2 — fits Vivo phones that use the B-B2 pack,B-B2,3000,3.85,public specification of the original pack,,Vivo,9,Vivo V5; Vivo V5 Lite; Vivo V5s; Vivo Y65; Vivo Y66; Vivo Y66L; Vivo Y67; Vivo Y67L; Vivo Y69,"B-B2, VIVO B-B2, VIVO BB2, VIVOB-B2, Vivo V5 battery, Vivo V5 Lite battery, Vivo V5s battery, Vivo Y65 battery, Vivo Y66 battery, Vivo Y66L battery, Vivo Y67 battery, Vivo Y67L battery, Vivo Y69 battery","GoldPlus VIVO B-B2 battery for Vivo V5, Vivo V5 Lite, Vivo V5s, Vivo Y","GoldPlus replacement battery VIVO B-B2 (replaces B-B2) for Vivo V5, Vivo V5 Lite, Vivo V5s, Vivo Y65, Vivo Y66, Vivo Y66L. Check your phone's exact model number or the code on your old battery before you order."
GP-BAT-VIVOBD2,VIVO B-D2,GoldPlus Replacement Battery VIVO B-D2 — fits Vivo phones that use the B-D2 pack,B-D2,3905,3.85,seen on independent parts listings (2026-09-20),,Vivo,4,Vivo X20; Vivo X20 Plus; Vivo X20 Plus A; Vivo X20 Plus UD,"B-D2, VIVO B-D2, VIVO BD2, VIVOB-D2, Vivo X20 battery, Vivo X20 Plus battery, Vivo X20 Plus A battery, Vivo X20 Plus UD battery","GoldPlus VIVO B-D2 battery for Vivo X20, Vivo X20 Plus, Vivo X20 Plus ","GoldPlus replacement battery VIVO B-D2 (replaces B-D2) for Vivo X20, Vivo X20 Plus, Vivo X20 Plus A, Vivo X20 Plus UD. Check your phone's exact model number or the code on your old battery before you order."
GP-BAT-WIFIBATBIG,WIFI BAT BIG,GoldPlus Portable WiFi (MiFi) Replacement Battery — Large Pack (WIFI BAT BIG),,,,,,,0,,"WIFI BAT BIG, WIFIBATBIG",GoldPlus WIFI BAT BIG replacement battery,GoldPlus replacement battery WIFI BAT BIG. Check your phone's exact model number or the code on your old battery before you order.
GP-BAT-WIFIBATTERYSMALL,WIFI BATTERY SMALL,GoldPlus Portable WiFi (MiFi) Replacement Battery — Small Pack (WIFI BATTERY SMALL),,,,,,,0,,"WIFI BATTERY SMALL, WIFIBATTERYSMALL",GoldPlus WIFI BATTERY SMALL replacement battery,GoldPlus replacement battery WIFI BATTERY SMALL. Check your phone's exact model number or the code on your old battery before you order.
GP-BAT-WT140,WT140,GoldPlus Replacement Battery WT140 — fits the C01 Plus,WT140,3000,3.85,seen on independent parts listings (2026-09-20),,Nokia,1,Nokia C01 Plus,"WT140, Nokia C01 Plus battery",GoldPlus WT140 battery for Nokia C01 Plus,GoldPlus replacement battery WT140 for Nokia C01 Plus. Check your phone's exact model number or the code on your old battery before you order.
